SKU,Regular_Price,Sale Price,Date sale price start,Date sale price ends,Status,Stock,Type,Name,Weight,Length,Width,Height,Post_Title,Post_Content,Images,Category
PET-CAT-HSCT076-180-GR,80.3,57.37,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet Cat Tree 180cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood,20.1,64.5,23,53,i.Pet Cat Tree 180cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood,"<p>It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of fun scratching, hunting, climbing, jumping, hopping or simply lounging around. Better still, thw hanging mice also help to keep your cat curious and alert at all times. Plus, with its sisal-covered scratching posts, you can rest assured that your furniture will stay cat-free for a very long time. Not least, the tree is upholstered with a plush velvety surface for extra comfort and style. Best of all, the firm base and sturdy construction ensures that the tree remain a durable cat haven with total peace of mind for you. Can we hear a meow to that?</p>
 
 
 
 
 <p><strong>Features</strong><br />
 Giant cat tree<br />
 Stable wooden construction<br />
 Natural sisal posts and soft plush cover<br />
 Multi-level design with ample play areas<br />
 Bed cubes and cradles, ladder<br />
 Hanging toys for extra fun<br />
 Includes scratching, perching, climbing, sleeping all in one piece<br />
 </p>
 
 
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood, plush cover, and sisal<br />
 Height: 180m <br />
 Base dimension: 60cm x 50cm<br />
 Colour: Dark grey<br />
 </p>
 
 
 
 <p><strong>Package Content</strong><br />
1 x Cat tree <br />
1 x Assembly kit <br />
1 x Assembly guide <br />",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/505aec4e55b10cdcd5bad43b0e3f2c1b/P/E/PET-CAT-HSCT076-180-GR-00.jpg,
PET-DOGPLAYPEN-36,40.7,33.24,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,"i.Pet 36"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence",9.6,94,63,6,"i.Pet 36"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence","<p><strong>Pet Playpen - 36 Inches</strong></p>
<p>Give your pet the play area it deserves without worrying about it messing up your home. Our 8-panel Pet Playpen is just the answer to let your pet have great fun within a designated area.</p>
<p>Made from durable powder-coated steel frames, the 8-panel Playpen can be arranged in a number of ways to suit your pet's play habits. Whether it's an octagon or a square pen, the Playpen easily configures with just simple adjustments.</p>
<p>Better still, you can actually get two 8-panel sets and create an expanded play area for your furry friend. And when play time is over, the Playpen can be easily folded away for storage or travel.</p>
<p>Security and safety measures include a bolt latch for the access door, two locks and safe round edges respectively.</p>
<p>Ideal for a variety of pets including puppies, kittens, guinea pigs and rabbits, the Pet Playpen can be used both outdoors and indoors.</p>
<p><strong>Features</strong><br>
  * Multi-configuration<br>
  * Strong steel frames<br>
  * Black powder coated to enhance durability<br>
  * Join up to 2 sets of panels to expand the play area<br>
  * Locks included to join the ends of playpen<br>
  * Round edges - safer for your pet<br>
  * Secure lock system on access door<br>
  * Easily foldable for convenient storage and transportation<br>
  * Simple setup - no tools required<br>
  * SGS approved<br>
  * Suitable for a variety of pets - dogs, ducks, rabbits, guinea pigs etc</p>
<p><strong>Specifications</strong><br>
  * Size: 36&quot;<br>
  * Dimension per panel: 61cm x 91cm<br>
  * Colour: Black<br>
  * Door latch per panel: 2<br>
  * Lock for panels: 1</p>
<p><strong>Package Contents</strong><br>
1 x Pet Playpen</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/37765fb22ec4c0ff116cc300fafec8ce/P/E/PET-DOGPLAYPEN-36-00.jpg,
PET-DOGPLAYPEN-H80,123.2,65.95,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Fence Play Pen 80x80cm,18,83.5,82.5,17,i.Pet 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Fence Play Pen 80x80cm,"<p><strong>8 Panel Playpen</strong></p>
<p>Give your pet a safe and secure play area with this 8 panel playpen. It features a foldable design offering maximum convenience when storing and transporting and allows you to configure the playpen to the desired shape. Easy to set up, store and transport, it's an absolute hassle free purchase.</p>
<p><strong>Features</strong><br>
  Powder coated finish <br>
  8 Panels included <br>
  1 Access door <br>
  2 Locks </p>
<p><strong>Specifications</strong><br>
  Dimensions (per panel): 80 x 80cm <br>
  Colour: Black </p>
<p><strong>Package Contents</strong><br>
1 x Pet Playpen</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/21858f3c9f038d85e2dd1c5f0241ed7f/P/E/PET-DOGPLAYPEN-H80-00.jpg,
PET-DOGPLAYPEN-30,40.7,26.35,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,"i.Pet 30"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence",8.2,77,64,7,"i.Pet 30"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence","<p><strong>8 Panel Pet Playpen</strong></p>
<p>Give your pet the play area it deserves without worrying about it messing up your home. Our 8-panel Pet Playpen is just the answer to let your pet have great fun within a designated area. </p>
<p>Made from durable powder-coated steel frames, the 8-panel Playpen can be arranged in a number of ways to suit your pet抯 play habits. Whether it's an octagon or a square pen, the Playpen easily configures with just simple adjustments. </p>
<p>Better still, you can actually get two 8-panel sets and create an expanded play area for your furry friend. And when play time is over, the Playpen can be easily folded away for storage or travel. </p>
<p>Security and safety measures include a bolt latch for the access door, locks and safe round edges respectively. </p>
<p>Ideal for a variety of pets including puppies, kittens, guinea pigs and rabbits, the Pet Playpen can be used both outdoors and indoors. </p>
<p><strong>Features</strong><br>
  * Multi-configuration with eight panels <br>
  * Durable steel frames <br>
  * Powder coated <br>
  * Weather-resistant <br>
  * Foldable <br>
  * Bolt latch for access door <br>
  * Locks included for joining the panels <br>
  * Easy to set up <br>
  * SGS-approved </p>
<p><strong>Specifications</strong><br>
  * Size: 30&quot; <br>
  * Dimensions per panel: 61cm x 76cm <br>
  * Colour: Black <br>
  * Door latch per panel: 1 <br>
  * Lock for panels: 1 </p>
<p><strong>Package Contents</strong><br>
  1 x Pet Play Pen</p>
",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/e3ab65ad00f4440ed330e11806f344a4/P/E/PET-DOGPLAYPEN-30-00.jpg,
PET-CAT-HSCT076-180-BE,80.3,78.29,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet Cat Tree 180cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood Beige,20.1,64.5,23,53,i.Pet Cat Tree 180cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood Beige,"<p>It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of fun scratching, hunting, climbing, jumping, hopping or simply lounging around. Better still, thw hanging mice also help to keep your cat curious and alert at all times. Plus, with its sisal-covered scratching posts, you can rest assured that your furniture will stay cat-free for a very long time. Not least, the tree is upholstered with a plush velvety surface for extra comfort and style. Best of all, the firm base and sturdy construction ensures that the tree remain a durable cat haven with total peace of mind for you. Can we hear a meow to that?</p>
 
 
 
 
 <p><strong>Features</strong><br />
 Giant cat tree<br />
 Stable wooden construction<br />
 Natural sisal posts and soft plush cover<br />
 Multi-level design with ample play areas<br />
 Bed cubes and cradles, ladder<br />
 Hanging toys for extra fun<br />
 Includes scratching, perching, climbing, sleeping all in one piece<br />
 </p>
 
 
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood, plush cover, and sisal<br />
 Height: 180m <br />
 Base dimension: 60cm x 50cm<br />
 Colour: Beige<br />
 </p>
 
 
 
 <p><strong>Package Content</strong><br />
1 x Cat tree <br />
1 x Assembly kit <br />
1 x Assembly guide <br />",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/1c46474bc6581e4a47073fe8bcb937c4/P/E/PET-CAT-HSCT076-180-BE-00.jpg,
FF-GT-WOOD-R2100S,147.4,116.42,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Gardeon 2 Storey Wooden Hutch,23.3,102,62,24.3,Gardeon 2 Storey Wooden Hutch,"<p>Featuring a fir wood construction, our i.Pet Pet Hutch is the perfect home for your little pets. It incorporates two living areas – one cosy bedroom on the upper level and a spacious play area on the ground level. The four doors provide easy access and cleaning to the living areas and are equipped with strong and firm security locks. The hutch is waterproof, anti-termite and is made of TUV approved eco-friendly materials. Moreover, it features a green asphalt roof to insulate your pets from the heat during summer and against the rain in winter, providing maximum comfort to your pets all year round. The hutch does not only provide a five-star living environment, the architectural design also makes cleaning and feeding easier for you. So seek no further than our pet hutch when looking for the ideal home for your pets!</p>
 
 <p><strong>Features</strong><br />
 High quality fir wood construction with mesh wire<br />
 Asphalt roof for rain and sun protection<br />
 Waterproof and anti-termite<br />
 Fully enclosed bedroom on upper level<br />
 Spacious integrated ground enclosed play area<br />
 Open floor design for grazing<br />
 Built-in and foldable ramps connected between floors<br />
 Four easy-to-access doors<br />
 Strong and firm security locks<br />
 Slide-out tray for easy cleaning<br />
 Made of RoHS approved eco-friendly material<br />
 </p>
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood and steel mesh wire, asphalt roof<br />
 Overall Dimensions: 169 x 52 x 72 cm<br />
 Please refer to gallery for further dimensions<br />
 </p>
 
 <p><strong>Package Content</strong><br />
 1 x Pet hutch <br />
 1 x Assembly kit <br />
 1 x Assembly guide <br />",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/cea681b4cbd29ca1db01222d37e33a2d/F/F/FF-GT-WOOD-R2100S-00.jpg,
PET-CAT-CP001-GR,64.9,46.5,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet Cat Tree 124cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood Steps,9.75,73.5,63.5,12.5,i.Pet Cat Tree 124cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood Steps,"<p>It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of fun scratching, hunting, climbing, jumping, hopping or simply lounging around. Plus, with its sisal-covered scratching posts, you can rest assured that your furniture will stay cat-free for a very long time. Not least, the tree is upholstered with a soft linen surface for extra comfort and style. Best of all, the firm base and sturdy construction ensures that the tree remain a durable cat haven with total peace of mind for you. Can we hear a meow to that?</p>
 
 
 
 
 <p><strong>Features</strong><br />
 Stable wooden construction<br />
 Natural sisal posts and soft linen cover<br />
 Multi-level design with ample play areas<br />
 Various napping spots<br />
 Includes scratching, perching, climbing, sleeping all in one piece<br />
 </p>
 
 
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood, linen cover, and sisal<br />
 Height: 124m <br />
 Base dimension: 60cm x 60cm<br />
 Colour: Grey<br />
 </p>
 
 
 
 <p><strong>Package Content</strong><br />
 1 x Cat tree  <br />
 1 x Assembly kit <br />
 1 x Assembly guide  <br />
",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/a11d7ab99e0d2107d65b4789d4789aa5/P/E/PET-CAT-CP001-GR-00.jpg,
FIK-ROPE-500MX2,69,,,,In Stock,200,simple,Giantz 1000M Electric Fence Wire Tape Poly Stainless Steel Temporary Fencing Kit,8.243,30.5,23,47,Giantz 1000M Electric Fence Wire Tape Poly Stainless Steel Temporary Fencing Kit,"<p>1000M Polyrope</p>
<p>Want to improve the visibility of your electric fence? Then this 4mm wide Red and White Polyrope is all you need.</p>
<p>Electric fences are designed to keep pets and livestock contained and polyrope helps to improve its visibility, keeping your pets and livestock away from it. Polyropes are used for their superior strength for animal electric fencing. Moreover, With the use of red and white, it highly increases the visibility, preventing your livestock to make accidental contact. Fulfilling your needs for a reliable electric fencing, be assured that your animals will be kept where they belong.</p>
<p><strong>Features</strong><br>
  Highly visible red and white rope to reduce accidental contacts<br>
  Compatible with fence energiser<br>
  6 strands of 0.20mm stainless steel<br>
  Tightly wound and UV stabilised; avoids disintegration under sun<br>
  Antirust and high conductivity stainless steel wire<br>
Ideal for livestock fencing and control grazing</p>
<p><strong>Specifications</strong><br>
  Length: 500m/roll<br>
  Width: 4mm<br>
  Strand: 6 x 0.2MM stainless steel wire<br>
  Electrical resistance: 5.3Ω OHMS<br>
  Coating: UV treated<br>
Colour: Red &amp; white</p>
<p><strong>Package Content</strong><br>
2 x 500M Polyrope</p>
",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/6e6acd692221cb5109e078b3a91c8be1/F/I/FIK-ROPE-500MX2-00.jpg,
PET-DH-P424-GR,127.6,104.21,7/12/2021 0:00,18/12/2021 0:00,In Stock,125,simple,i.Pet Extra Extra Large Pet Kennel - Grey,15,98.5,29.5,70,i.Pet Extra Extra Large Pet Kennel - Grey,"<p><strong>Grey Dog Kennel</strong></p>
<p>What keeps your doggie happy is as simple as providing a comfortable and clean home for it. Our Dog Kennel is just the perfect for your loyal friend.<br>
  Besides being low maintenance, this delightful Dog Kennel is made from high quality and durable plastic to prevent germs and bacteria from nurturing inside. It's also designed with a corrugated roof for easy water runoff during the rainy season and an elevated base to keep your pet away from moist and damp grounds and surfaces.<br>
  What makes this Kennel really special is the extra room for doggie to lay and chill. With its removable side wall, you can simply detach and place it on the floor for an extendable living area or a more spacious entrance.<br>
  Perfect for all seasons, this Dog Kennel is exceptionally easy to clean.</p>
<p><strong>Features</strong><br>
  * Grey shelter kennel<br>
  * Indoor and outdoor use<br>
  * Eco-friendly Polypropylene (PP) material<br>
  * Durable and heavy duty construction<br>
  * Weatherproof and UV-proof<br>
  * Easy to clean surfaces<br>
  * Hygienic and germ-free<br>
  * Corrugated roof<br>
  * Extendable side<br>
  * Ventilation holes<br>
  * Elevated base<br>
  * Easy to assemble and disassemble</p>
<p><strong>Specifications</strong><br>
  * Material: Eco-friendly Polypropylene<br>
  * Waterproof: Yes<br>
  * UV-proof: Yes<br>
  * Colour: Grey<br>
  * Overall dimension:  98 x 68.5 x 68cm<br>
  * Main door dimension: 30x47cm<br>
  * Side door dimensions: 54 x 54cm<br>
  * Elevated base height: 6cm</p>
<p><strong>Package Content</strong><br>
  1 x Dog Kennel<br>
1 x Assembly Manual</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/927b88d518cebbeefe3f94134c8f020e/P/E/PET-DH-P424-GR-00.jpg,
PET-DOGPLAYPEN-24,30.8,21.95,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,"i.Pet 24"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence",6.8,63,63,6,"i.Pet 24"" 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Play Pen Fence","<p><strong>Pet Playpen - 24 Inches</strong></p>
<p>Give your pet the play area it deserves without worrying about it messing up your home. Our 8-panel Pet Playpen is just the answer to let your pet have great fun within a designated area.</p>
<p>Made from durable powder-coated steel frames, the 8-panel Playpen can be arranged in a number of ways to suit your pet's play habits. Whether it's an octagon or a square pen, the Playpen easily configures with just simple adjustments.</p>
<p>Better still, you can actually get two 8-panel sets and create an expanded play area for your furry friend. And when play time is over, the Playpen can be easily folded away for storage or travel.</p>
<p>Security and safety measures include a bolt latch for the access door, two locks and safe round edges respectively.</p>
<p>Ideal for a variety of pets including puppies, kittens, guinea pigs and rabbits, the Pet Playpen can be used both outdoors and indoors.</p>
<p><strong>Features</strong><br>
  * Multi-configuration<br>
  * Strong steel frames<br>
  * Black powder coated to enhance durability<br>
  * Join up to 2 sets of panels to expand the play area<br>
  * Locks included to join the ends of playpen<br>
  * Round edges - safer for your pet<br>
  * Secure lock system on access door<br>
  * Easily foldable for convenient storage and transportation<br>
  * Simple setup - no tools required<br>
  * SGS approved<br>
  * Suitable for a variety of pets - dogs, ducks, rabbits, guinea pigs etc</p>
<p><strong>Specifications</strong><br>
  * Size: 24&quot;<br>
  * Dimension per panel: 62cm x 60cm<br>
  * Colour: Black<br>
  * Door latch per panel: 1<br>
  * Lock for panels: 1</p>
<p><strong>Package Contents:</strong><br>
1 x Pet Playpen</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/ae8f8ed71b9a60843c053a6c391eebc7/P/E/PET-DOGPLAYPEN-24-00.jpg,
