0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
1664,simple,AES-KB22K,Everfit Set of 5 Kettle Bell Set,1,0,1,,"<p><strong>Set of 5 Kettle Bell Weight Fitness Exercise Kit</strong> <br>Suitable for both men and women, the weights feature high quality construction<br>that ensures safe and effective use. It features an easy-to-handle design with anti-slip grips,<br>stable bases and premium concrete filings.<br><br><strong>Features</strong><br>*Concrete filled kettle bells<br>*Set of 5 kettle bells<br>*Consists of 2 units of 2kg for light trainings<br>*Comes in 4 sizes/weights<br><br><strong>Specifications</strong><br>* Kettle Bell Weight: 2kg, 4kg, 6kg, 8kg<br><br><strong>Package Content</strong><br>1x Kettle Bell weight set<br></p>",12/1/2021,12/4/2021,taxable,,0,0,0,0,48.5,24.41,9.84,11.81,1,,63.58,74.8,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-99.jpg",,,,,,,,,0,,,1,1,Brand,Unbranded,1,1,EAN,9.35E+12,1,1
1665,simple,AES-T001B,Everfit 3 Block Level Aerobic Step Bench ,1,0,1,,"<p><strong>Exercise Aerobic Step Bench</strong> <br><br>Perfect for in home exercise the step bench features an anti-slip surface design and a wide stepping platform.<br>To suit training needs the height can be adjusted for maximum comfort.<br>No assembly neccesary its as easy as stacking each step on top of eachother. <br><br><strong>Features</strong><br><br><br>* Commercial Gym Grade<br><br>* Adjustable 3-level stack design<br><br>* Anti-slip surface design<br><br>* Non-skid floor pads<br><br>* EVA mat platform covering<br><br>* Maximum weight capacity of 300kg<br><br>* No assembly required<br><br>* Dimensions: 110 x 40 x 20cm<br><br>* Height Adjustments: 10cm, 15cm, 20cm<br><br>* Weight: 10kg<br><br><strong>Specifications</strong><br>* Weight capacity: 300kg<br>* Dimensions: 110 x 40 x 20cm<br>* Adjustable height level: 10cm / 15cm / 20cm<br>* Weight: 10kg<br><br><br><strong>Package Contents</strong><br><br><br>* 1 x Aerobic Step<br></p>",12/1/2021,12/4/2021,taxable,,0,0,0,0,18.74,42.91,16.54,8.27,1,,99.45,117,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-99.jpg",,,,,,,,,0,,,1,1,Brand,Everfit,1,1,EAN,9.35E+12,1,1
1666,simple,AES-T002,Everfit 3 Level Aerobic Step Bench ,1,0,1,,<p><strong>Fitness Exercise Aerobic Step Bench </strong> <br>Perfect for in home exercise the step bench features an anti-slip surface design and a wide stepping platform.<br>To suit training needs the height can be adjusted for maximum comfort.<br>No assembly neccesary its as easy as stacking each step on top of eachother<br><br><strong>Features</strong><br>* Commercial Gym Grade<br>* Adjustable 3-level stack design<br>* Wide stepping platform<br>* Maximum weight capacity of 250kg<br>* No assembly required<br>* Dimensions: 78 x 28 x 19.5cm<br>* Weight: 4.5kg<br><br><strong>Package Contents</strong><br>1 x Aerobic Step<br><br><br><br><br></p>,12/1/2021,12/4/2021,taxable,,0,0,0,0,10.14,32.09,12.72,4.65,1,,46.33,54.5,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-99.jpg",,,,,,,,,0,,,1,1,Brand,Everfit,1,1,EAN,9.35E+12,1,1
1667,simple,AES-T003,Everfit 2 Level Block Aerobic Step Bench,1,0,1,,"<p><strong>Fitness Exercise Aerobic Step Bench </strong> <br>Perfect for in home exercise the step bench features an anti-slip surface design and a wide stepping platform.<br>To suit training needs the height can be adjusted for maximum comfort.<br>No assembly neccesary its as easy as stacking each step on top of eachother<br><br><strong>Features</strong><br><br><br>* Commercial Gym Grade<br><br>* Adjustable 2-level stack design<br><br>* Anti-slip surface design<br><br>* Wide stepping platform<br>* No assembly required<br><br><strong>Specifications</strong><br>* Dimensions: 66 x 26 x 15.5cm<br><br>* Height Adjustments: 10cm, 15cm<br><br>* Weight: 3.5kg<br><br><br>* Maximum weight capacity of 250kg<br><br><strong>Package Contents</strong><br><br><br>* 1 x Aerobic Step<br></p>",12/1/2021,12/4/2021,taxable,,0,0,0,0,8.16,26.97,11.61,4.65,1,,37.4,44,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T003-99.jpg",,,,,,,,,0,,,1,1,Brand,Everfit,1,1,EAN,9.35E+12,1,1
1683,simple,AQ-SPH-6250, Giantz 2500L/H Submersible Aqua Aquarium Water Pump,1,0,1,,"<p><strong>Multi-Functional Pond Aquarium Pump 2500LPH</strong> <br><br><br>Ideal for creating water features, pond circulation, waterfalls, fountain streams asnd marine aquariums.<br><br><strong>Features</strong><br>* Robust construction with durable case<br>* Inline & Submersible<br>* Low energy consumption<br>* Operates in near silence<br>* Suitable for fresh and salt water<br>* C-tick, EMC, TUV, GS, CE approved<br><br><strong>Specifications</strong><br>* Output: 2500LH<br>* Voltage: 230V<br>* Frequency: 50Hz<br>* Power: 35W<br>* Max height: 2.3m<br>* Dimensions: 12.5 x 10 x 13.5cm<br>* Weight: 1kg<br><br><strong>Package Contents</strong><br><br><br>* 1 x Aquarium pump<br><br>* 1 x User Manual<br><br><br><br><br><br><br><br><br><br></p>",12/1/2021,12/4/2021,taxable,,1,200,0,0,2.87,6.69,5.31,5.71,1,,20.66,24.3,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6250-99.jpg",,,,,,,,,0,Color,Black,1,1,Brand,Giantz,1,1,EAN,9.35E+12,1,1
1684,simple,AQ-SPH-6350,Giantz 3000L/H Submersible Aqua Aquarium Water Pump,1,0,1,,"<p><strong>Multi-Functional Pond Aquarium Pump 3000LPH</strong> <br><br><br>Ideal for creating water features, pond circulation, waterfalls, fountain streams and marine aquariums.<br><br><strong>Features</strong><br><br><br>* Robust construction with durable case<br>* Inline & Submersible<br>* Low energy consumption<br>* Operates in near silence<br>* Suitable for fresh and salt water<br>* C-tick, EMC, TUV, GS, CE approved<br><br><strong>Specifications</strong><br>* Output: 3000LH<br>* Voltage: 230V<br>* Frequency: 50Hz<br>* Power: 45W<br>* Max height: 3m<br>* Dimensions: 15 x 10 x 13.5cm<br>* Weight: 1kg<br><br><strong>Package Contents</strong><br><br><br>* 1 x Aquarium Pump<br><br>* 1 x User Manual<br><br><br><br><br><br><br><br><br><br></p>",12/1/2021,12/4/2021,taxable,,1,200,0,0,2.87,7.99,5.59,6.1,1,,26.1,34.8,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/Q/AQ-SPH-6350-99.jpg",,,,,,,,,0,Color,Black,1,1,Brand,Giantz,1,1,EAN,9.35E+12,1,1
1693,simple,AQUA-CFP-10000,Giantz 10000L/H Submersible Water Pump,1,0,1,,"<p><strong>Aquarium Pond Filter Pump 10000LPH</strong> <br>Ideal for creating water features, pond circulation, waterfalls, fountain streams and marine aquariums, this submersible pump will bring new life to your pond. It is assured to deliver high performance and made with outstanding features including a robust and durable case, overheat protection function, low energy consumption and operates in near silence. It is suitable for both fresh and salt water and designed for long life and continuous operation. Add a fun touch to your pond and give your sea creatures the best living environment!<br><br><strong>Features</strong><br>* High Power 155W Motor<br>* Maximum Output: 10000LPH<br>* Frequency: 50Hz<br>* Maximum Displacement Height : 5m<br>* Spiral Propeller allows dirt particle size as large as 7mm<br>* Compact in size and Easy to maintain<br><br><strong>Specifications</strong><br>* Suitable for Marine, Fresh Water Plants and Fish<br>* Dimensions: 30 x 29cm<br>* Weight: 3.5kg<br><br><strong>Package Contents</strong><br>* 1 X Pond Pump<br>* 1 X User Manual<br><br><br><br></p>",12/1/2021,12/4/2021,taxable,,1,168,0,0,8.38,13.98,6.3,12.01,1,,80.58,94.8,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-06.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/a/q/aqua-cfp-10000-07.jpg",,,,,,,,,0,,,1,1,Brand,Giantz,1,1,EAN,9.35E+12,1,1
1749,simple,ba-tw-9076-BKX2,Artiss Set of 2 PU Leather Backless Bar Stools - Black and Chrome,1,0,1,,"<p><strong>Set of 2 PU Leather Kitchen Bar Stools- Black</strong></p><p>Designed to blend in with any environment, this bar stool serves the purpose of providing seating comfort along with a neat, simple design. Featuring an elegant design and beautiful chrome legs, it will surely complement your modern decor. It also incorporates a thick padded PU leather covered seat providing long lasting furniture that offers maximum comfort. Contemporary and innovative, it's a beauty with assured quality.</p><p><strong>Features</strong><br /> *Simple structure design<br /> *Comfortable PU leather padded seat<br /> *Sturdy steel legs<br /> *Aesthetically pleasing chrome finish - corrosion resistant<br /> *Heavy-duty footrest<br /> *Bottom rubber feet to protect floors</p><p><br /> <strong>Specifications</strong><br /> * Seat material: PU leather<br /> * Base material: Steel<br /> * Finish: Chrome<br /> * Overall dimensions: 36 x 36 x 69cm<br /> * Flat Packed - Simple Assembly Required<br /> * Colour: Black</p><p><strong>Package Contents</strong><br />* 2 x Bar Stools<br />* 1 x User Manual</p>",12/1/2021,12/4/2021,taxable,,1,200,0,0,25.68,28.74,9.06,14.76,1,,91.8,108,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-06.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-07.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-BKX2-30.jpg",,,,,,,,,0,Color,Black,1,1,Brand,Artiss,1,1,EAN,9.35E+12,1,1
1751,simple,ba-tw-9076-WHX2,Artiss Set of 2 PU Leather Backless Bar Stools - White and Chrome,1,0,1,,"<p><strong>Set of 2 PU Leather Kitchen Bar Stools- White</strong></p><p>Designed to blend in with any environment, this bar stool serves the purpose of providing seating comfort along with a neat, simple design. Featuring an elegant design and beautiful chrome legs, it will surely complement your modern decor. It also incorporates a thick padded PU leather covered seat providing long lasting furniture that offers maximum comfort. Contemporary and innovative, it's a beauty with assured quality.  </p><p><strong>Features</strong><br> *Simple structure design<br> *Comfortable PU leather padded seat<br> *Sturdy steel legs<br> *Aesthetically pleasing chrome finish - corrosion resistant<br> *Heavy-duty footrest<br> *Bottom rubber feet to protect floors</p><p><br>  <strong>Specifications</strong><br>  * Seat material: PU leather<br>  * Base material: Steel<br>  * Finish: Chrome<br>  * Overall dimensions: 36 x 36 x 69cm<br>  * Flat Packed - Simple Assembly Required<br>  * Colour: White<br></p><p><strong>Package Contents</strong><br>* 2 x Bar Stools<br>* 1 x User Manual",12/1/2021,12/4/2021,taxable,,1,200,0,0,24.58,28.74,9.06,14.76,1,,90.95,107,,,,"https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-06.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-07.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/B/A/BA-TW-9076-WHX2-30.jpg",,,,,,,,,0,Color,White,1,1,Brand,Artiss,1,1,EAN,9.35E+12,1,1
